,Publisher,count,Source_new
22654,Societe des Amis de la Bibliotheque Salomon Reinach,1,others
22655,Societe des Bollandistes,2,others
22656,Societe des Etudes Classiques A S B L,1,others
22657,Societe des Etudes Italiennes Paris,10,others
22658,Societe des Oceanistes,1,others
22659,"Societe des Sciences Naturelles de l'Ouest de la France; Memoire, HS 1",2,others
22660,Societe pour l'Etude des Cultures Prepharaoniques de la Vallee du Nil,1,others
22661,Societe pour le Progres des Etudes Philologiques et Historiques,3,others
22662,Societes,2,others
22663,Societies without Borders,1,others
22664,Society and Animals,2,others
22665,Society and Economy,1,others
22666,Society and Natural Resources,2,others
22667,Society for Advancement of Horticulture,4,others
22668,Society for Applied Anthropology,2,others
22669,Society for Applied Spectroscopy,22,Society for Applied Spectroscopy
22670,Society for Biology and Biotechnology,3,others
22671,Society for Biomedical Diabetes Research,1,others
22672,Society for Chaos Theory in Pyschology and Life Sciences,14,Society for Chaos Theory in Pyschology and Life Sciences
22673,Society for Computational Design and Engineering,4,others
22674,Society for Economic Research on Copyright Issues,1,others
22675,Society for Economic Theory,12,Society for Economic Theory
22676,Society for Endocrinology,34,Society for Endocrinology
22677,Society for Experimental Biology and Medicine,12,Society for Experimental Biology and Medicine
22678,Society for Experimental Mechanics Inc.,12,Society for Experimental Mechanics Inc.
22679,Society for General Microbiology,100,Society for General Microbiology
22680,Society for Human Ecology,2,others
22681,Society for Imaging Science and Technology,5,others
22682,Society for In Vitro Biology,15,Society for In Vitro Biology
22683,Society for Indonesian Biodiversity,2,others
22684,Society for Industrial and Applied Mathematics Publications,1183,Society for Industrial and Applied Mathematics Publications
22685,Society for Information Display,1,others
22686,Society for Integrative and Comparative Biology,1,others
22687,Society for Judgment and Decision making,16,Society for Judgment and Decision making
22688,Society for Libyan Studies,3,others
22689,Society for Longitudinal and Life Course Studies,1,others
22690,Society for Marine Mammology,3,others
22691,"Society for Microelectronics, Electric Components and Materials",1,others
22692,"Society for Microwave Technique, Technologies and System",3,others
22693,"Society for Mining, Metallurgy and Exploration",4,others
22694,Society for Molecular Biology and Evolution,19,Society for Molecular Biology and Evolution
22695,Society for Neuroscience,621,Society for Neuroscience
22696,Society for Pediatric Pathology,3,others
22697,Society for Personal Research,6,others
22698,Society for Plant Biochemistry and Biotechnology,1,others
22699,Society for Psychophysiological Research,5,others
22700,Society for Range Management,5,others
22701,Society for Research and Knowledge Management,4,others
22702,Society for Scientific Exploration,1,others
22703,Society for Sedimentary Geology SEPM,1,others
22704,Society for Sociological Science,4,others
22705,Society for Structural Integrity and Life (DIVK),4,others
22706,Society for Theoretical Psychoanalysis,2,others
22707,Society for Underwater Technology,2,others
22708,Society for Vascular Surgery,15,Society for Vascular Surgery
22709,Society for Vector Ecology,2,others
22710,Society for Vertebrate Paleontology,3,others
22711,Society for the Advancement of Philosophy,2,others
22712,Society for the Advancement of Scandinavian Study,1,others
22713,Society for the Experimental Analysis of Behavior Inc.,1,others
22714,Society for the Publication of Acta Dermato-Venereologica,4,others
22715,Society for the Study of Amphibians and Reptiles,15,Society for the Study of Amphibians and Reptiles
22716,Society for the Study of Evolution,46,Society for the Study of Evolution
22717,Society for the Study of Mediaeval Languages and Literature,1,others
22718,Society for the Study of Reproduction,51,Society for the Study of Reproduction
22719,Society of Actuaries,2,others
22720,Society of Africanist Archaeologists,2,others
22721,Society of Agricultural Meteorology of Japan,1,others
22722,Society of American Foresters,7,others
22723,Society of Automotive Engineers of Japan,2,others
22724,Society of Automotive Engineers of Japan Inc,2,others
22725,Society of Biblical Literature,1,others
22726,Society of Biology of Chile,6,others
22727,"Society of Chemical Engineers, Japan",5,others
22728,Society of Chemical Industry,3,others
22729,Society of Chinese System Engineering,1,others
22730,Society of Cosmetic Chemists,3,others
22731,Society of Diabetic Nephropathy Prevention,9,others
22732,Society of Dyers and Colourists,2,others
22733,"Society of Economic Geologists, Inc",16,"Society of Economic Geologists, Inc"
22734,Society of Ethnobiology,6,others
22735,Society of Exploration Geophysicists,185,Society of Exploration Geophysicists
22736,Society of Fermentation and Bioengineering,1,others
22737,"Society of Fermentation and Bioengineering, Japan",3,others
22738,Society of Forensic Toxicologists,66,Society of Forensic Toxicologists
22739,Society of Glass Technology,4,others
22740,Society of Laparoendoscopic Surgeons,25,Society of Laparoendoscopic Surgeons
22741,Society of Leather Technologists and Chemists,10,others
22742,"Society of Mathematicians, Physicists and Astronomers of Slovenia",47,"Society of Mathematicians, Physicists and Astronomers of Slovenia"
22743,Society of Media Researchers In Denmark,1,others
22744,Society of Medical Biochemists of Serbia,4,others
22745,Society of Medical Biochemists of Serbia and Montenegro,10,others
22746,Society of Motion Picture and Television Engineers,18,Society of Motion Picture and Television Engineers
22747,Society of Naval Architects and Marine Engineers,15,Society of Naval Architects and Marine Engineers
22748,Society of Naval Architects of Korea,8,others
22749,Society of Nematologists,3,others
22750,Society of Nuclear Medicine Inc.,87,Society of Nuclear Medicine Inc.
22751,Society of Petroleum Engineers,22,Society of Petroleum Engineers
22752,Society of Petroleum Engineers (SPE),12,Society of Petroleum Engineers (SPE)
22753,"Society of Photo-Optical Instrumentation Engineers, Bellingham",4,others
22754,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA, United States",68,"Society of Photo-Optical Instrumentation Engineers, Bellingham, WA, United States"
22755,Society of Physical Therapy Science (Rigaku Ryoho Kagakugakkai),22,Society of Physical Therapy Science (Rigaku Ryoho Kagakugakkai)
22756,Society of Plastics Engineers,34,Society of Plastics Engineers
22757,Society of Polymer Science,5,others
22758,"Society of Polymer Science, Jpn, Tokyo",3,others
22759,"Society of Polymer Science, Jpn, Tokyo, Japan",1,others
22760,Society of Porphyrins and Phthalocyanines (SPP),58,Society of Porphyrins and Phthalocyanines (SPP)
22761,Society of Protozoologists,12,Society of Protozoologists
22762,Society of Rheology,30,Society of Rheology
22763,Society of Spanish and Spanish-American Studies,2,others
22764,Society of Sytematic Innovation,2,others
22765,Society of Toxicologic Pathologists,3,others
22766,Society of Vascular Ultrasound,7,others
22767,Society of Veterinary Medicine of the State of Rio de Janeiro,1,others
22768,Society of Wetland Scientists,1,others
22769,Society of Wood Science and Technology,3,others
22770,Society of hospital medicine,2,others
22771,Società Italiana di Fisica,5684,Società Italiana di Fisica
22772,Socio-Economic Planning Sciences,7,others
22773,Socio-Economic Review,9,others
22774,Sociobiology,9,others
22775,Sociologia,3,others
22776,Sociologia (Italy),1,others
22777,Sociologia Ruralis,18,Sociologia Ruralis
22778,"Sociologia, Problemas e Praticas",2,others
22779,Sociologias,1,others
22780,Sociological Association of Serbia,3,others
22781,Sociological Demography Press,2,others
22782,Sociological Focus,1,others
22783,Sociological Methodology,3,others
22784,Sociological Methods and Research,7,others
22785,Sociological Perspectives,1,others
22786,Sociological Quarterly,3,others
22787,Sociological Research Online,3,others
22788,Sociological Review,1,others
22789,Sociological Theory and Methods,1,others
22790,Sociologicky Casopis,2,others
22791,Sociologicky Ustav,1,others
22792,Sociologicky Ustav SAV / Institute for Sociology of the Slovak Academy of Sciences,2,others
22793,Sociology,1,others
22794,Sociology Compass,1,others
22795,Sociology of Crime Law and Deviance,2,others
22796,Sociology of Education,1,others
22797,Sociology of Health and Illness,1,others
22798,Soft Computing,68,Soft Computing
22799,Soft Materials,10,others
22800,Soft Matter,216,Soft Matter
22801,Software - Practice and Experience,63,Software - Practice and Experience
22802,Software Process Improvement and Practice,5,others
22803,Software Quality Journal,1,others
22804,Software Testing Verification and Reliability,14,Software Testing Verification and Reliability
22805,"Software Testing, Verification and Reliability",1,others
22806,Software and Systems Modeling,11,Software and Systems Modeling
22807,Software engineering journal,2,others
22808,Software-Concepts and Tools,4,others
22809,Software: Practice and Experience,30,Software: Practice and Experience
22810,Soil Biology and Biochemistry,220,Soil Biology and Biochemistry
22811,Soil Conservation Society of America,1,others
22812,Soil Dynamics and Earthquake Engineering,124,Soil Dynamics and Earthquake Engineering
22813,Soil Research,3,others
22814,Soil Science,68,Soil Science
22815,Soil Science Soc of America,1,others
22816,"Soil Science Soc of America, Madison",11,"Soil Science Soc of America, Madison"
22817,Soil Science Society of America,66,Soil Science Society of America
22818,Soil Science Society of America Journal,50,Soil Science Society of America Journal
22819,Soil Science Society of China,31,Soil Science Society of China
22820,Soil Science Society of Poland,2,others
22821,Soil Science and Plant Nutrition,12,Soil Science and Plant Nutrition
22822,Soil Survey & Land Evaluation,1,others
22823,Soil Technology,7,others
22824,Soil Use and Management,15,Soil Use and Management
22825,Soil and Crop Science Society of Florida,1,others
22826,Soil and Sediment Contamination,11,Soil and Sediment Contamination
22827,Soil and Tillage Research,42,Soil and Tillage Research
22828,"Soil mechanics and foundation engineering. Proc 10th international conference, Stockholm, June 1981. Vol. 3, (A.A.Balkema)",2,others
22829,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June 1981. Vol. 2, (A.A.Balkema)",1,others
22830,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June 1981. Vol. 3, (A.A. Balkema)",1,others
22831,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June 1981. Vol. 3, (A.A.Balkema)",1,others
22832,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June1981. Vol. 1, (A.A.Balkema)",1,others
22833,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June1981. Vol. 2, (A.A. Balkema)",1,others
22834,"Soil mechanics and foundation engineering. Proc. 10th international conference, Stockholm, June1981. Vol. 2, (A.A.Balkema)",1,others
22835,Soils and Foundations,12,Soils and Foundations
22836,Soils and Rocks,2,others
22837,"Soins. Formation, pédagogie, encadrement : avec la participation du CEEIEC",1,others
22838,Sojourn,1,others
22839,Solar & wind technology,1,others
22840,Solar Cells,31,Solar Cells
22841,Solar Energy,161,Solar Energy
22842,Solar Energy Materials,26,Solar Energy Materials
22843,Solar Energy Materials and Solar Cells,81,Solar Energy Materials and Solar Cells
22844,Solar Physics,35,Solar Physics
22845,Solar System Research,1,others
22846,Solar and Wind Technology,17,Solar and Wind Technology
22847,Solar energy materials,1,others
22848,"Solariz, Inc.",7,others
22849,Solarlits,19,Solarlits
22850,Solid Earth,13,Solid Earth
22851,Solid Mechanics and its Applications,11,Solid Mechanics and its Applications
22852,Solid State Communications,951,Solid State Communications
22853,Solid State Electronics,119,Solid State Electronics
22854,Solid State Ionics,275,Solid State Ionics
22855,Solid State Nuclear Magnetic Resonance,17,Solid State Nuclear Magnetic Resonance
22856,Solid State Sciences,37,Solid State Sciences
22857,Solid State Technology,4,others
22858,Solid-State Electronics,89,Solid-State Electronics
22859,Solos e Rochas,1,others
22860,Solutions,1,others
22861,Solvent Extraction and Ion Exchange,4,others
22862,Somatosensory and Motor Research,12,Somatosensory and Motor Research
22863,Somnologie,3,others
22864,Source Code for Biology and Medicine,3,others
22865,South African Archives of Ophthalmology,1,others
22866,South African Bureau for Scientific Publications,23,South African Bureau for Scientific Publications
22867,South African Institute of Civil Engineers,1,others
22868,South African Institute of Computer Scientists and Information Technologists,1,others
22869,South African Institute of Mining and Metallurgy,1,others
22870,South African Journal Of Education,1,others
22871,South African Journal of Animal Sciences,3,others
22872,South African Journal of Botany,10,others
22873,South African Journal of Enology and Viticulture,24,South African Journal of Enology and Viticulture
22874,South African Journal of Geology,1,others
22875,South African Medical Association,4,others
22876,South African Medical Journal,2,others
22877,South African Society for Enology and Viticulture,31,South African Society for Enology and Viticulture
22878,South African Statistical Association,1,others
22879,South African Water Research Commission,8,others
22880,South Asia Research,1,others
22881,South Asian Studies,3,others
22882,South China University of Technology,6,others
22883,South East Asia Research,3,others
22884,South East European Studies Association,1,others
22885,South European Society and Politics,33,South European Society and Politics
22886,South Pacific Medicine Underwater Society and the European Underwater and Baromedical Society,2,others
22887,South Pacific Underwater Medicine Society and the European Underwater and Baromedical Society,2,others
22888,South Ural State University,4,others
22889,"South Ural State University, Publishing Center",4,others
22890,Southeast Asian Geotechnical Society,9,others
22891,Southeast Asian Journal of Tropical Medicine and Public Health,1,others
22892,Southeastern Europe,2,others
22893,Southeastern Surgical Congress,33,Southeastern Surgical Congress
22894,Southern Cross Publishing,20,Southern Cross Publishing
22895,Southern Cross Publishing and Printing Pty Ltd,17,Southern Cross Publishing and Printing Pty Ltd
22896,Southern Economic Association,3,others
22897,Southern Economic Journal,2,others
22898,Southern Forests,1,others
22899,Southern Medical Association,3,others
22900,Southern Medical Journal,14,Southern Medical Journal
22901,"Southern Public Administration Education Foundation, Inc",1,others
22902,Southern Scientific Centre of the Russian Academy of Sciences,1,others
22903,Southwest Missouri State University,291,Southwest Missouri State University
22904,Southwestern Entomologist,1,others
22905,Soviet Education,1,others
22906,Soviet Studies,2,others
22907,Sozial- und Praventivmedizin,8,others
22908,Soziale Welt,1,others
22909,Space Communications,16,Space Communications
22910,Space Policy,2,others
22911,Space Science Reviews,27,Space Science Reviews
22912,Space Technology,21,Space Technology
22913,Space Technology: Industrial & Commercial Applications,2,others
22914,Space Weather,1,others
22915,Space and Polity,1,others
22916,Space communication and broadcasting,1,others
22917,Spandidos Publications,1144,Spandidos Publications
22918,Spanish Association for Irish Studies,4,others
22919,Spanish Association of Anglo-American Studies,2,others
22920,Spanish Association of Economic History (SAEC),3,others
22921,Spanish Council of Optometry,20,Spanish Council of Optometry
22922,Spanish Economic Review,2,others
22923,Spanish Journal of Agricultural Research,10,others
22924,Spanish Society of Neurology,2,others
22925,Spanish Society of Research in Mathematics Education,1,others
22926,Spatial Cognition and Computation,5,others
22927,Spatial Economic Analysis,9,others
22928,Spatial Statistics,5,others
22929,Spatial Vision,17,Spatial Vision
22930,Spatial and Spatio-temporal Epidemiology,1,others
22931,Spatium,1,others
22932,Special Care Dentistry,2,others
22933,Special Care in Dentistry,1,others
22934,Special Paper of the Geological Society of America,3,others
22935,Special Papers in Palaeontology,1,others
22936,"Special care in dentistry: official publication of the American Association of Hospital Dentists, the Academy of Dentistry for the Handicapped, and the American Society for Geriatric Dentistry",1,others
22937,Specialissue2,1,others
22938,Specializzati Oggi - Dermatologia,25,Specializzati Oggi - Dermatologia
22939,Specjalisci Dermatolodzy,9,others
22940,Spectrochimica Acta,36,Spectrochimica Acta
22941,Spectrochimica Acta - Part A Molecular Spectroscopy,7,others
22942,Spectrochimica Acta - Part A Molecular and Biomolecular Spectroscopy,9,others
22943,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,77,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy
22944,Spectrochimica Acta - Part B Atomic Spectroscopy,72,Spectrochimica Acta - Part B Atomic Spectroscopy
22945,Spectrochimica Acta Part A: Molecular Spectroscopy,322,Spectrochimica Acta Part A: Molecular Spectroscopy
22946,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,6,others
22947,Spectrochimica Acta Part B: Atomic Spectroscopy,13,Spectrochimica Acta Part B: Atomic Spectroscopy
22948,Spectrochimica Acta-Part A: Molecular and Biomolecular Spectroscopy,1,others
22949,"Spectrochimica acta, Part B: Atomic spectroscopy",1,others
22950,Spectroscopy,15,Spectroscopy
22951,Spectroscopy (New York),2,others
22952,Spectroscopy (Santa Monica),1,others
22953,Spectroscopy Europe,10,others
22954,Spectroscopy Letters,98,Spectroscopy Letters
22955,Speculum,2,others
22956,Speech Communication,17,Speech Communication
22957,Spektrum der Augenheilkunde,3,others
22958,Spettatore Internazionale,44,Spettatore Internazionale
22959,Sphinx Knowledge House,2,others
22960,Spinal Cord,40,Spinal Cord
22961,Spine,110,Spine
22962,Spine Journal,16,Spine Journal
22963,Spiritus,2,others
22964,Spixiana,1,others
22965,Sport Science,11,Sport Science
22966,Sport Sciences for Health,79,Sport Sciences for Health
22967,Sport en Geneeskunde,1,others
22968,Sport in Society,3,others
22969,"Sport, Ethics and Philosophy",1,others
22970,Sports Biomechanics,4,others
22971,Sports Engineering,4,others
22972,Sports Excercise and Injury,1,others
22973,Sports Historian,1,others
22974,Sports Medicine,1,others
22975,"Sports Medicine, Arthroscopy, Rehabilitation, Therapy and Technology",2,others
22976,"Sports Medicine, Training and Rehabilitation",2,others
22977,Sports Medicine: An International Journal of Applied Medicine and Science in Sport and Exercise,1,others
22978,"Sports Training, Medicine and Rehabilitation",1,others
22979,Spring Media,34,Spring Media
22980,Springer,15719,Springer
22981,Springer (India) Private Ltd.,2,others
22982,Springer Basel,36,Springer Basel
22983,Springer Berlin,109,Springer Berlin
22984,Springer Berlin Heidelberg,394,Springer Berlin Heidelberg
22985,Springer Boston,50,Springer Boston
22986,Springer Fachmedien Wiesbaden,10,others
22987,Springer Gabler,1,others
22988,Springer Healthcare,190,Springer Healthcare
22989,Springer Heidelberg,249,Springer Heidelberg
22990,Springer India,163,Springer India
22991,Springer International Publishing,4040,Springer International Publishing
22992,Springer Japan,274,Springer Japan
22993,Springer London,1122,Springer London
22994,Springer Medizin,39,Springer Medizin
22995,Springer Milan,268,Springer Milan
22996,Springer Monographs in Mathematics,2,others
22997,Springer Nature,2571,Springer Nature
22998,Springer Netherland,41,Springer Netherland
22999,Springer Netherlands,6457,Springer Netherlands
23000,Springer New York,2240,Springer New York
23001,Springer New York LLC,16964,Springer New York LLC
23002,Springer Paris,25,Springer Paris
23003,Springer Proceedings in Mathematics,2,others
23004,Springer Proceedings in Mathematics and Statistics,8,others
23005,Springer Publishing Company,52,Springer Publishing Company
23006,Springer Science and Business Media B.V.,3488,Springer Science and Business Media B.V.
23007,Springer Science and Business Media Deutschland GmbH,17904,Springer Science and Business Media Deutschland GmbH
23008,Springer Science and Business Media Netherlands,29,Springer Science and Business Media Netherlands
23009,"Springer Science and Business Media, LLC",2002,"Springer Science and Business Media, LLC"
23010,Springer Science+Business Media,115,Springer Science+Business Media
23011,Springer Science+Business Media B.V.,77,Springer Science+Business Media B.V.
23012,Springer Series in Chemical Physics,6,others
23013,Springer Series in Materials Science,1,others
23014,Springer Series in Optical Sciences,10,others
23015,Springer Series in Surface Sciences,6,others
23016,Springer Singapore,15,Springer Singapore
23017,Springer Tokyo,419,Springer Tokyo
23018,Springer Tracts in Advanced Robotics,42,Springer Tracts in Advanced Robotics
23019,Springer US,56,Springer US
23020,Springer VS,7,others
23021,Springer Verlag,30527,Springer Verlag
23022,"Springer Verlag, Berlin",4,others
23023,Springer Vieweg,6,others
23024,Springer Wien,304,Springer Wien
23025,Springer-Verlag,15891,Springer-Verlag
23026,Springer-Verlag France,596,Springer-Verlag France
23027,"Springer-Verlag GmbH & Company KG, Berlin",24,"Springer-Verlag GmbH & Company KG, Berlin"
23028,"Springer-Verlag GmbH & Company KG, Berlin, Germany",62,"Springer-Verlag GmbH & Company KG, Berlin, Germany"
23029,Springer-Verlag GmbH Co. KG,23,Springer-Verlag GmbH Co. KG
23030,Springer-Verlag Italia s.r.l.,5848,Springer-Verlag Italia s.r.l.
23031,Springer-Verlag London Ltd,189,Springer-Verlag London Ltd
23032,"Springer-Verlag London Ltd., London, United Kingdom",2,others
23033,Springer-Verlag New York Inc.,2,others
23034,"Springer-Verlag New York Inc., New York",5,others
23035,"Springer-Verlag New York Inc., New York, NY, United States",4,others
23036,"Springer-Verlag New York, New York",1,others
23037,"Springer-Verlag New York, New York, NY, United States",1,others
23038,Springer-Verlag Tokyo,107,Springer-Verlag Tokyo
23039,Springer-Verlag Wien,1148,Springer-Verlag Wien
23040,"Springer-Verlag Wien, Wien",4,others
23041,"Springer-Verlag Wien, Wien, Austria",1,others
23042,"Springer-Verlag, NATO ASI Series F1",1,others
23043,"Springer-Verlag; Lecture Notes in Computer Science, 339",2,others
23044,Springer-Verlag; NATO ASI Series F 1,1,others
23045,Springer-Verlag; NATO ASI Series F 2,2,others
23046,Springer-Verlag; NATO ASI Series F 4,3,others
23047,SpringerOpen,438,SpringerOpen
23048,Sri Lanka College of Paediatricians,1,others
23049,Srpski Arhiv za Celokupno Lekarstvo,2,others
23050,St-Petersburg State Polytechnical University,5,others
23051,St. Jerome Publishing,11,St. Jerome Publishing
23052,St. Petersburg Federal Research Center of the Russian Academy of Sciences,1,others
23053,St. Petersburg Mathematical Journal,5,others
23054,St. Petersburg Polytechnic University of Peter the Great,4,others
23055,St. Petersburg State University of Architecture and Civil Engineering,3,others
23056,St. Petersburg University Press,1,others
23057,Staatliche Naturhistorische Sammlungen Dresden,4,others
23058,Stahl und Eisen,2,others
23059,Stahlbau,4,others
23060,Stal',1,others
23061,Standards in Genomic Sciences,1,others
23062,Staps,1,others
23063,Starch ‐ Stärke,6,others
23064,Starch/Staerke,6,others
23065,Stata Journal,2,others
23066,StataCorp LP,1,others
23067,State Grid Electric Power Research Institute,1,others
23068,State Grid Electric Power Research Institute Nanjing Branch,2,others
23069,State Lev Tolstoy Pedagogical University,2,others
23070,State Museum for Natural History Stuttgart,7,others
23071,State Power Economic Research Institute,1,others
23072,State Univ of Rio de Janeiro - Center of Childhood and Philosophy Studies,4,others
23073,"State University of New York at Stony Brook, Center for Italian Studies",1,others
23074,State University of Santa Catarina,6,others
23075,Station Biologique de Roscoff,29,Station Biologique de Roscoff
23076,Statistica Neerlandica,12,Statistica Neerlandica
23077,Statistica Sinica,33,Statistica Sinica
23078,Statistical Analysis and Data Mining,6,others
23079,Statistical Applications in Genetics and Molecular Biology,3,others
23080,Statistical Inference for Stochastic Processes,10,others
23081,Statistical Journal of the United Nations Economic Commission for Europe,1,others
23082,Statistical Methodology,2,others
23083,Statistical Methods and Applications,162,Statistical Methods and Applications
23084,Statistical Methods in Medical Research,11,Statistical Methods in Medical Research
23085,Statistical Modeling,5,others
23086,Statistical Modelling,32,Statistical Modelling
23087,Statistical Papers,22,Statistical Papers
23088,Statistical Science,19,Statistical Science
23089,Statistical Society of Canada,17,Statistical Society of Canada
23090,Statistics,13,Statistics
23091,Statistics Canada,4,others
23092,Statistics Surveys,2,others
23093,Statistics Sweden,4,others
23094,Statistics and Computing,36,Statistics and Computing
23095,Statistics and Probability Letters,159,Statistics and Probability Letters
23096,Statistics and Risk Modeling,2,others
23097,Statistics in Medicine,82,Statistics in Medicine
23098,Statny Drevarsky Vyskumny Ustav,4,others
23099,Statute Law Review,2,others
23100,Statyba,1,others
23101,Staubli Verlag AG,1,others
23102,Stauffenburg Verlag,1,others
23103,Stavropol State Medical University,2,others
23104,Stazione Sperimentale per le Industrie,15,Stazione Sperimentale per le Industrie
23105,Stazione Zoologica Anton Dohrn,6,others
23106,Steel Research International,5,others
23107,Steel Times,1,others
23108,Steel and Composite Structures,1,others
23109,Steinkopff-Verlag,208,Steinkopff-Verlag
23110,Stem Cell Reports,6,others
23111,Stem Cell Research,11,Stem Cell Research
23112,Stem Cell Research Journal,1,others
23113,Stem Cell Research and Therapy,14,Stem Cell Research and Therapy
23114,Stem Cell Reviews,1,others
23115,Stem Cell Reviews and Reports,15,Stem Cell Reviews and Reports
23116,Stem Cells,147,Stem Cells
23117,Stem Cells International,5,others
23118,Stem Cells and Development,84,Stem Cells and Development
23119,Step Publishing Ltd.,5,others
23120,Stereotactic and Functional Neurosurgery,40,Stereotactic and Functional Neurosurgery
23121,Steroids,184,Steroids
23122,Stewart Postharvest Review,3,others
23123,Stewart Postharvest Solutions,5,others
23124,Stichting Netherlands Journal of Geosciences,5,others
23125,Stichting voor Nederlandse Kunsthistorische Publicaties,2,others
23126,Stochastic Analysis and Applications,73,Stochastic Analysis and Applications
23127,Stochastic Environmental Research and Risk Assessment,27,Stochastic Environmental Research and Risk Assessment
23128,Stochastic Hydrology and Hydraulics,1,others
23129,Stochastic Models,6,others
23130,Stochastic Processes and their Applications,125,Stochastic Processes and their Applications
23131,Stochastics,25,Stochastics
23132,Stochastics and Dynamics,8,others
23133,Stockholm University Press,1,others
23134,Stolichnaya Izdatelskaya Kompaniya,1,others
23135,Stomatologia mediterranea : SM,35,Stomatologia mediterranea : SM
23136,Stomatologija,3,others
23137,"Stomatologija / issued by public institution ""Odontologijos studija"" ... [et al.]",3,others
23138,Strabismus,6,others
23139,Strahlentherapie,12,Strahlentherapie
23140,Strahlentherapie und Onkologie,29,Strahlentherapie und Onkologie
23141,Strain,96,Strain
23142,Strategic Change,2,others
23143,Strategic Management Journal,6,others
23144,Strategic Organization,4,others
23145,Strategic Outsourcing: An International Journal,8,others
23146,Strategies in Trauma and Limb Reconstruction,10,others
23147,Stratigraphy,27,Stratigraphy
23148,Strength and Conditioning Journal,4,others
23149,Strength of Materials,6,others
23150,"Strength, Fracture and Complexity",8,others
23151,Stress,15,Stress
23152,Stress Medicine,20,Stress Medicine
23153,Stress and Health,18,Stress and Health
23154,Strojarski Facultet,7,others
23155,Strojniski Vestnik/Journal of Mechanical Engineering,10,others
23156,Stroke,344,Stroke
23157,Stroke Research and Treatment,4,others
23158,Stroke; a journal of cerebral circulation,1,others
23159,Structural Change and Economic Dynamics,106,Structural Change and Economic Dynamics
23160,Structural Chemistry,44,Structural Chemistry
23161,Structural Control and Health Monitoring,65,Structural Control and Health Monitoring
23162,Structural Design of Tall and Special Buildings,14,Structural Design of Tall and Special Buildings
23163,Structural Durability and Health Monitoring,1,others
23164,Structural Engineer,2,others
23165,Structural Engineering International: Journal of the International Association for Bridge and Structural Engineering (IABSE),40,Structural Engineering International: Journal of the International Association for Bridge and Structural Engineering (IABSE)
23166,Structural Equation Modeling,3,others
23167,Structural Health Monitoring,5,others
23168,Structural Safety,47,Structural Safety
23169,Structural Survey,2,others
23170,Structural and Multidisciplinary Optimization,37,Structural and Multidisciplinary Optimization
23171,Structural engineer London,1,others
23172,Structure,41,Structure
23173,Structure and Bonding,8,others
23174,Structure and Infrastructure Engineering,40,Structure and Infrastructure Engineering
23175,Strumenti Critici,2,others
23176,Studi Emigrazione,162,Studi Emigrazione
23177,Studi Piemontesi,13,Studi Piemontesi
23178,Studi Sassaresi,56,Studi Sassaresi
23179,Studi Storici,25,Studi Storici
23180,Studi e Problemi di Critica Testuale,98,Studi e Problemi di Critica Testuale
23181,Studi e Recerche,1,others
23182,Studi sulla Questione Criminale,5,others
23183,Studia Biophysica,2,others
23184,Studia Geomorphologica Carpatho-Balcanica,1,others
23185,Studia Geophysica et Geodaetica,9,others
23186,Studia Iranica,1,others
23187,Studia Leibnitiana,3,others
23188,Studia Linguistica,5,others
23189,Studia Logica,40,Studia Logica
23190,Studia Mathematica,47,Studia Mathematica
23191,Studia Pneumologica et Phthiseologica,1,others
23192,Studia Politica,1,others
23193,Studia Psychologica,1,others
23194,Studia Regionalne i Lokalne,1,others
23195,Studia Scientiarum Mathematicarum Hungarica,5,others
23196,Studia Theologica - Nordic Journal of Theology,1,others
23197,Studia Universitatis Babes-Bolyai Chemia,4,others
23198,Studia Universitatis Babes-Bolyai Sociologia,1,others
23199,Studia Universitatis Babes-Bolyai and Cluj University Press,2,others
23200,StudienVerlag,1,others
23201,Studies in Applied Electromagnetics and Mechanics,7,others
23202,Studies in Applied Mathematics,18,Studies in Applied Mathematics
23203,Studies in Applied Mechanics,3,others
23204,Studies in Australasian Cinema,1,others
23205,Studies in Comparative International Development,1,others
23206,Studies in Computational Intelligence,233,Studies in Computational Intelligence
23207,Studies in Computer Science and Artificial Intelligence,3,others
23208,Studies in Conflict and Terrorism,4,others
23209,Studies in Conservation,23,Studies in Conservation
23210,Studies in Documentary Film,1,others
23211,Studies in East European Thought,3,others
23212,Studies in Economics and Finance,1,others
23213,Studies in Educational Evaluation,4,others
23214,Studies in Environmental Science,4,others
23215,"Studies in Ethics, Law, and Technology",2,others
23216,Studies in Fuzziness and Soft Computing,42,Studies in Fuzziness and Soft Computing
23217,Studies in Gender and Sexuality,1,others
23218,Studies in Health Technology and Informatics,4,others
23219,Studies in Higher Education,6,others
23220,Studies in History,3,others
23221,Studies in History and Philosophy of Modern Physics,3,others
23222,Studies in History and Philosophy of Science,5,others
23223,Studies in History and Philosophy of Science Part A,7,others
